mmsi;imo_nr;length;date_time_utc;lon;lat;sog;cog;true_heading;nav_status;message_nr
375219000;6721151;55;2018-01-01 08:15:44;9.7565;59.0162;9.7;135.0;138;0;1
375219000;6721151;55;2018-01-01 08:15:52;9.75717;59.016;9.6;135.0;138;0;1
375219000;6721151;55;2018-01-01 08:16:03;9.75767;59.0157;9.6;135.0;137;0;1
375219000;6721151;55;2018-01-01 08:16:14;9.75833;59.0153;9.6;134.0;137;0;1
375219000;6721151;55;2018-01-01 08:16:22;9.75883;59.015;9.6;133.0;136;0;1
375219000;6721151;55;2018-01-01 08:16:34;9.75967;59.0147;9.6;133.0;137;0;1
375219000;6721151;55;2018-01-01 08:16:42;9.76017;59.0143;9.6;132.0;137;0;1
375219000;6721151;55;2018-01-01 08:16:53;9.76083;59.0142;9.6;132.0;136;0;1
375219000;6721151;55;2018-01-01 08:17:02;9.7615;59.0138;9.6;132.0;135;0;1
375219000;6721151;55;2018-01-01 08:17:13;9.76217;59.0135;9.6;131.0;134;0;1
375219000;6721151;55;2018-01-01 08:17:23;9.76283;59.0132;9.6;130.0;134;0;1
375219000;6721151;55;2018-01-01 08:17:33;9.7635;59.0128;9.6;130.0;135;0;1
375219000;6721151;55;2018-01-01 08:17:43;9.76417;59.0127;9.6;130.0;135;0;1
375219000;6721151;55;2018-01-01 08:17:52;9.76483;59.0123;9.7;130.0;135;0;1
375219000;6721151;55;2018-01-01 08:18:03;9.7655;59.012;9.7;131.0;134;0;1
375219000;6721151;55;2018-01-01 08:18:14;9.76617;59.0117;9.6;130.0;134;0;1
375219000;6721151;55;2018-01-01 08:18:22;9.76683;59.0115;9.6;130.0;134;0;1
375219000;6721151;55;2018-01-01 08:18:33;9.7675;59.0112;9.5;130.0;134;0;1
375219000;6721151;55;2018-01-01 08:18:42;9.76817;59.0108;9.5;130.0;134;0;1
375219000;6721151;55;2018-01-01 08:18:53;9.76883;59.0105;9.4;130.0;134;0;1
375219000;6721151;55;2018-01-01 08:19:03;9.76933;59.0103;9.4;130.0;134;0;1
375219000;6721151;55;2018-01-01 08:19:13;9.77;59.01;9.4;129.0;134;0;1
375219000;6721151;55;2018-01-01 08:19:23;9.77067;59.0097;9.3;129.0;133;0;1
375219000;6721151;55;2018-01-01 08:19:34;9.77133;59.0095;9.3;129.0;133;0;1
636011160;9070072;115;2018-01-01 07:14:33;9.75145;59.0181;10.1;144.7;136;0;3
636011160;9070072;115;2018-01-01 07:14:40;9.75185;59.0179;10.0;141.6;134;0;3
636011160;9070072;115;2018-01-01 07:14:51;9.75247;59.0175;10.0;137.5;131;0;3
636011160;9070072;115;2018-01-01 07:15:03;9.7534;59.0171;9.9;131.1;129;0;3
636011160;9070072;115;2018-01-01 07:15:11;9.75388;59.0169;9.9;130.0;128;0;3
636011160;9070072;115;2018-01-01 07:15:23;9.75472;59.0166;9.9;127.7;128;0;1
636011160;9070072;115;2018-01-01 07:15:34;9.75542;59.0163;9.9;127.4;128;0;1
636011160;9070072;115;2018-01-01 07:15:45;9.7562;59.016;9.9;127.4;128;0;1
636011160;9070072;115;2018-01-01 07:15:53;9.7569;59.0157;9.9;127.0;128;0;1
636011160;9070072;115;2018-01-01 07:16:04;9.7576;59.0155;9.9;127.3;128;0;1
636011160;9070072;115;2018-01-01 07:16:15;9.75831;59.0152;9.9;126.6;129;0;1
636011160;9070072;115;2018-01-01 07:16:24;9.75894;59.0149;9.9;127.5;129;0;1
636011160;9070072;115;2018-01-01 07:16:34;9.75963;59.0147;9.9;128.3;129;0;1
636011160;9070072;115;2018-01-01 07:16:43;9.7604;59.0143;9.9;128.3;129;0;1
636011160;9070072;115;2018-01-01 07:16:54;9.76109;59.0141;9.9;128.0;129;0;1
636011160;9070072;115;2018-01-01 07:17:03;9.7618;59.0138;9.9;127.3;130;0;1
636011160;9070072;115;2018-01-01 07:17:14;9.76249;59.0135;9.9;128.6;130;0;1
636011160;9070072;115;2018-01-01 07:17:23;9.76311;59.0132;9.9;128.4;130;0;1
636011160;9070072;115;2018-01-01 07:17:33;9.76381;59.013;9.9;128.5;130;0;1
636011160;9070072;115;2018-01-01 07:17:45;9.76456;59.0127;9.9;128.7;130;0;1
636011160;9070072;115;2018-01-01 07:17:53;9.76519;59.0124;9.9;128.5;130;0;1
636011160;9070072;115;2018-01-01 07:18:04;9.76595;59.0121;9.8;127.8;131;0;1
636011160;9070072;115;2018-01-01 07:18:15;9.76663;59.0118;9.8;128.7;131;0;1
636011160;9070072;115;2018-01-01 07:18:23;9.76725;59.0116;9.8;128.8;131;0;1
636011160;9070072;115;2018-01-01 07:18:34;9.76793;59.0113;9.8;129.1;131;0;1
636011160;9070072;115;2018-01-01 07:18:45;9.76868;59.011;9.8;129.3;131;0;1
636011160;9070072;115;2018-01-01 07:18:54;9.76929;59.0107;9.8;129.2;131;0;1
636011160;9070072;115;2018-01-01 07:19:05;9.77004;59.0104;9.8;129.3;131;0;1
636011160;9070072;115;2018-01-01 07:19:14;9.77072;59.0101;9.8;129.4;131;0;1
636011160;9070072;115;2018-01-01 07:19:24;9.77133;59.0098;9.8;129.1;131;0;1
636011160;9070072;115;2018-01-01 07:19:33;9.77202;59.0095;9.8;129.2;131;0;1
212710000;9195834;95;2018-01-02 06:41:10;9.75123;59.0181;10.2;130.0;126;0;1
212710000;9195834;95;2018-01-02 06:41:22;9.75212;59.0178;10.4;128.4;126;0;1
212710000;9195834;95;2018-01-02 06:41:30;9.75272;59.0175;10.5;128.0;126;0;1
212710000;9195834;95;2018-01-02 06:41:41;9.75355;59.0172;10.6;127.8;125;0;1
212710000;9195834;95;2018-01-02 06:41:52;9.75433;59.0169;10.8;127.1;125;0;1
212710000;9195834;95;2018-01-02 06:42:03;9.75519;59.0165;10.9;127.3;125;0;1
212710000;9195834;95;2018-01-02 06:42:11;9.75581;59.0163;10.9;127.3;125;0;1
212710000;9195834;95;2018-01-02 06:42:23;9.75677;59.0159;11.0;127.0;126;0;1
212710000;9195834;95;2018-01-02 06:42:31;9.7574;59.0157;11.1;127.4;126;0;1
212710000;9195834;95;2018-01-02 06:42:42;9.75827;59.0153;11.1;127.6;126;0;1
212710000;9195834;95;2018-01-02 06:42:51;9.75899;59.015;11.2;127.9;127;0;1
212710000;9195834;95;2018-01-02 06:43:02;9.75993;59.0146;11.2;128.3;127;0;1
