tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
38,501966,5/19/2015,17,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,RootOther,No,No,Yes,No,No,No,No,No,No,922 LEGGETT AVENUE,10455,Bronx,202,2,Bronx,17,84,32,BX33,Longwood,2008500,New York,40.81612323,-73.90053755,1011780.988,236628.4576,17,83,2005135,2026860041
39,501966,5/19/2015,0,31,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,918 LEGGETT AVENUE,10455,Bronx,202,2,Bronx,17,84,32,BX33,Longwood,2008500,New York,40.81621315,-73.90058204,1011768.634,236661.2049,17,83,2005134,2026860039
40,501966,5/19/2015,19,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,940 EAST 156 STREET,10455,Bronx,202,2,Bronx,17,84,32,BX33,Longwood,2008500,New York,40.81632773,-73.90063874,1011752.892,236702.9345,17,85,2005412,2027010001
41,501966,5/19/2015,21,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,940 EAST 156 STREET,10455,Bronx,202,2,Bronx,17,84,32,BX33,Longwood,2008500,New York,40.81639145,-73.90067027,1011744.139,236726.1385,17,85,2005412,2027010001
42,501966,5/19/2015,18,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,940 EAST 156 STREET,10455,Bronx,202,2,Bronx,17,84,32,BX33,Longwood,2008500,New York,40.81648137,-73.90071477,1011731.785,236758.8858,17,85,2005412,2027010001
43,500846,5/19/2015,4,0,OffsetFromCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,792 WESTCHESTER AVENUE,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81840387,-73.90385617,1010861.489,237458.3535,17,79,,
44,500846,5/19/2015,5,0,OffsetFromCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,792 WESTCHESTER AVENUE,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81836263,-73.90394997,1010835.541,237443.2978,17,79,,
45,500846,5/19/2015,3,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,762 WESTCHESTER AVENUE,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81809538,-73.90462633,1010648.441,237345.7255,17,79,2097788,2026760002
46,500846,5/19/2015,4,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,762 WESTCHESTER AVENUE,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81806761,-73.90468949,1010630.969,237335.588,17,79,2097788,2026760002
47,500846,5/19/2015,3,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,762 WESTCHESTER AVENUE,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81803984,-73.90475265,1010613.496,237325.4506,17,79,2097788,2026760002
